name,phone,extension,website,google_reviews,industry,profile_url,scraped_at,score,grade,package
Pressa Group Kft,+36 1 443 3777 (mellék: 1280),1280,https://hu.pinterest.com/joszakihu,12,Kőműves,https://joszaki.hu/szakember/pressa-group-kft#city=budapest&profession=komuves,2026-07-03 10:37:47,64,A,AI SEO
Duka Brendon 2,+36 1 443 3777 (mellék: 84325),84325,https://hu.pinterest.com/joszakihu,0,Kőműves,https://joszaki.hu/szakember/duka-brendon-2#city=budapest&profession=komuves,2026-07-03 10:37:47,54,B,AI SEO
